Medical Text_eng,Medicine\ Chemical Name_eng,Organ_eng,Disease_eng,Hormones_eng,Pharmacological Class_eng,Common Medical Terms_eng
"Fexofenadine treats allergy symptoms, including itching, sneezing, and hives. These symptoms include watery eyes, runny nose, and itchy eyes and nose. It works by blocking your body from making natural histamines when you experience an allergic reaction.",Fexofenadine,"Eyes, nose"," Itching, sneezing, irritation, itching, allergy",Histamine,,
"Tufnil is mainly used to relieve pain such as migraine. It is also used as a medicine for various types of headaches, including migraine pain, and fever pain. It is even recommended to take Tufnil to relieve the pain that is felt after surgery due to cuts and abrasions.","Tafenil, Tolfenamic",," Pain, fever",,,
Amoxicillin is a penicillin-based antibiotic (amino-penicillin) that helps fight bacterial infections. It is one of the most commonly used antibiotics in primary care settings and is active against a wide variety of gram-positive bacteria and some gram-negative bacteria as well.,Amoxicillin,,Bacterial infection,,Amino-penicillin,Antibiotics
" Atropine is a tropane alkaloid that is commonly used to reduce pain and inflammation. It is also effective in reducing body temperature. It works by inhibiting enzymes that cause inflammation, fever, and pain.",Atropine,,"Inflammation, fever, pain",,Tropene alkaloids,
"Azithromycin belongs to a group of drugs called macrolide antibiotics, which work by killing bacteria that cause infections. Azithromycin is intended to treat infections caused by bacteria, including but not limited to respiratory tract infections, skin and soft tissue infections, sexually transmitted diseases, and even certain types of pneumonia.",Azithromycin,"Skin, respiratory system",Pneumonia,,Macrolide antibiotics," Antibiotics, Infections"
"Albendazole, a potent antiparasitic drug, has attracted attention for its effectiveness in treating various worm infestations. This versatile drug can affect both intestinal and tissue parasites.",Albendazole,,Worm infestation,,Antiparasitic,Medicine
"Chlorpheniramine is an antihistamine medication used to treat a variety of allergic reactions, including seasonal allergies, allergic rhinitis, hives, and allergic conjunctivitis. It works by blocking the effects of histamine, a chemical that causes allergic reactions in the body. Chlorpheniramine is also effective for treating common cold symptoms such as sinus infections and sneezing.",Chlorpheniramine," Nose, eyes","Allergy, sneezing",,Antihistamine,
"Diclofenac is a non-steroidal anti-inflammatory drug (NSAID). It is intended to relieve pain and reduce inflammation by eliminating the underlying cause or factors that cause pain in the body. It can be given orally, intravenously (into a vein), rectally (through the anus), or injected subcutaneously (under the skin). It works by inhibiting prostaglandin enzymes, which are the cause of pain and inflammation.",Diclofenac,Skin," Inflammation, pain",,Anti-inflammatory,Painkillers
"Diclofenac can cause various allergic reactions, such as difficulty breathing, swelling of the mouth and throat, or severe skin reactions (skin pain, blisters, peeling, and skin rash).",Diclofenac,"Mouth, throat, skin","Skin pain, blisters",,,Painkillers
All medicines including diclofenac should be stored at room temperature and away from direct heat and light to prevent them from spoiling. Do not store the medicine in the refrigerator.,Diclofenac,,,,,Medicine
"Esomeprazole, a powerful drug, has revolutionized the treatment of gastric problems. This remarkable drug helps in treating a range of gastric diseases such as gastroesophageal reflux disease (GERD) and stomach ulcers.",Esomeprazole,,"Gastric, ulcer",,,
Take esomeprazole at the same time every day. Follow the prescription or package directions carefully. Avoid exceeding the prescribed dose or duration.,Esomeprazole,,"Gastric, ulcer",,,
"Aceclofenac belongs to the category of non-steroidal anti-inflammatory drugs (NSAIDs). This medicine is prescribed for chronic inflammation and pain in the bones or joints. Aceclofenac works by blocking the action of an enzyme in the body known as ""cyclooxygenase (COX)"". This enzyme releases chemical prostaglandins at the site of injury and results in swelling, pain and inflammation. By blocking the COX enzyme, aceclofenac helps to relieve pain and reduce inflammation.",Aceclofenac,,"Chronic inflammation, pain",Prostaglandins,Non-steroidal anti-inflammatory drugs,
"If you feel any kind of pain in your body, you must take paracetamol. This medicine can also be used to reduce the temperature if you have a fever. Do not take medicine unnecessarily. If you have some severe pain in your body that is unbearable, it is better to consult a doctor first.",Paracetamol,,"Pain, fever",,,"Medicine, Doctor"
"Paracetamol is a pain reliever as well as an antipyretic (which reduces body temperature). It can also be taken with other medicines. Paracetamol works by inhibiting the production of inflammatory mediators such as prostaglandins, which cause pain and inflammation.",Paracetamol,,Pain,Prostaglandins,Antipyretic,Medicine
"Tafinlar is mainly used to relieve pain such as migraines. Tafinlar is also used to treat various types of headaches, including migraines, fever. Tafinlar is even recommended for the treatment of post-operative pain caused by incisions.","Tafenil, Tolfenamic",,"Pain, fever",,,
Calcitriol is a biologically active synthetic form of vitamin D. It is used to treat conditions such as metabolic bone disease in patients with chronic kidney failure and hyperparathyroidism (overactive parathyroid glands).,Calcitriol,Kidney,Bone disease,,,
"Vitamin B complex plays an important role in maintaining our body's health, but since it is a water-soluble vitamin, it can be excreted from the body through urine. Excessive loss of vitamin B can lead to deficiency, especially if the person's diet is lacking in vitamin B-rich foods, for which vitamin B complex may be prescribed.",Vitamin B complex,,,,Vitamins,"Vitamin B complex, Health, Deficiency, Food"
Vitamin B complex is mostly available in oral tablet form. Vitamin supplements should only be taken after consulting a physician and their recommended dosage should not be exceeded. B complex oral tablets can be taken after meals.,Vitamin B complex,,,,Vitamins,"B complex, vitamins, dosage, oral tablets"
"Vitamin B complex is a combination of different types of B vitamins. So, check the ingredients to see if you have any allergies to them. Also, you must consider vitamin B complex as an additional dietary supplement and in no way replaces a healthy, balanced diet. You should still eat a healthy, balanced, nutrient-dense diet.",Vitamin B complex,,,,Vitamins,"vitamins, allergies, supplements, balanced diet"
